check_id,check_type,computed,expected,difference,tolerance,scope,evidence,status
article_recovered_source_sha256,boolean,e6a1fd25f0326f29a58869624ee574d604d75c51178ea6d44937070dddbf2d9f,e6a1fd25f0326f29a58869624ee574d604d75c51178ea6d44937070dddbf2d9f,,0,article_notebook_recovered,01_datos/insumos_publicables/contrafactual_articulo_recuperado_1986_2023.csv,PASS
article_private_notebook_identifiers_sanitized,boolean,True,True,,0,article_notebook_recovered,private notebook IDs and binary hashes are omitted from the public branch,PASS
article_primary_workbook_copy_recovered,boolean,recovered_external_copy_verified,recovered_external_copy_verified,,0,article_notebook_recovered,an external workbook copy was recovered and computationally verified,PASS
article_primary_workbook_identifier_sanitized,boolean,omitted_in_public_review_branch,omitted_in_public_review_branch,,0,article_notebook_recovered,the external workbook identifier is retained only in the local full audit,PASS
article_primary_workbook_cross_validation_complete,boolean,BTU=38; CO2=38; volume=38,38 matches for each series,,0,article_notebook_recovered,comparison against recovered Plotly arrays at 15 significant digits,PASS
article_primary_workbook_not_redistributed_without_license,boolean,stored=False; redistribution=False; status=source_provenance_and_license_pending,stored=False; redistribution=False; source_provenance_and_license_pending,,0,article_notebook_recovered,computational verification does not establish statistical provenance or license,PASS
article_history_coverage_unique,boolean,1986-2023; n=38,1986-2023; n=38,,0,article_notebook_recovered,38 consecutive x values embedded in the retrospective Plotly output,PASS
article_roundtrip_BTU_to_C0,absolute_tolerance,7.450580596923828e-09,0.0,7.450580596923828e-09,1e-07,article_notebook_recovered,max |BTU * 0.001055056 / 1e6 * 69.3 - embedded C0| tonnes,PASS
article_roundtrip_BTU_to_million_us_gallons,absolute_tolerance,9.663381206337363e-13,0.0,9.663381206337363e-13,1e-09,article_notebook_recovered,max volume residual against the embedded Plotly series,PASS
article_roundtrip_C0_to_BTU_relative,absolute_tolerance,3.774758283725532e-15,0.0,3.774758283725532e-15,2e-14,article_notebook_recovered,inverse forensic reconstruction from embedded C0,PASS
article_series_coverage_unique,boolean,1986-2030; n=45,1986-2030; n=45,,0,article_notebook_recovered,38 recovered observations plus 7 recalculated projections,PASS
article_golden_fit_fit_start_year,boolean,2014,2014,,0,article_notebook_recovered,"centered log-energy form equivalent to notebook log-liters OLS, 2014-2023",PASS
article_golden_fit_fit_end_year,boolean,2023,2023,,0,article_notebook_recovered,"centered log-energy form equivalent to notebook log-liters OLS, 2014-2023",PASS
article_golden_fit_n_observations,boolean,10,10,,0,article_notebook_recovered,"centered log-energy form equivalent to notebook log-liters OLS, 2014-2023",PASS
article_golden_fit_center_year,boolean,2014,2014,,0,article_notebook_recovered,"centered log-energy form equivalent to notebook log-liters OLS, 2014-2023",PASS
article_golden_fit_intercept_at_center,absolute_tolerance,10.893958689832722,10.893958689832722,0.0,1e-12,article_notebook_recovered,"centered log-energy form equivalent to notebook log-liters OLS, 2014-2023",PASS
article_golden_fit_slope_per_year,absolute_tolerance,0.05725550520597046,0.05725550520597046,0.0,1e-12,article_notebook_recovered,"centered log-energy form equivalent to notebook log-liters OLS, 2014-2023",PASS
article_golden_fit_annual_growth_rate,absolute_tolerance,0.058926337025396514,0.058926337025396514,0.0,1e-12,article_notebook_recovered,"centered log-energy form equivalent to notebook log-liters OLS, 2014-2023",PASS
article_golden_fit_r_squared_log_scale,absolute_tolerance,0.9031155140965328,0.9031155140965328,0.0,1e-12,article_notebook_recovered,"centered log-energy form equivalent to notebook log-liters OLS, 2014-2023",PASS
article_golden_fit_rmse_log_scale,absolute_tolerance,0.053864135445215316,0.053864135445215316,0.0,1e-12,article_notebook_recovered,"centered log-energy form equivalent to notebook log-liters OLS, 2014-2023",PASS
article_golden_projection_C0,absolute_tolerance,3.557652235031128e-07,0.0,3.557652235031128e-07,0.001,article_notebook_recovered,maximum residual against Plotly prospective E0 y-values,PASS
article_golden_projection_million_us_gallons,absolute_tolerance,4.229150363244116e-11,0.0,4.229150363244116e-11,1e-08,article_notebook_recovered,maximum residual against Plotly volume y-values,PASS
article_golden_projection_policy_scenario,absolute_tolerance,3.3155083656311035e-07,0.0,3.3155083656311035e-07,0.001,article_notebook_recovered,maximum residual against Plotly prospective scenario y-values,PASS
article_context_year_coverage_unique,boolean,"{'historical_counterfactual_1986_2023': 38, 'prospective_policy_2024_2030': 7, 'integrated_figure_1986_2030': 45}","{'historical_counterfactual_1986_2023': 38, 'prospective_policy_2024_2030': 7, 'integrated_figure_1986_2030': 45}",,0,article_notebook_recovered,38 historical + 7 prospective + 45 integrated rows,PASS
article_2024_2025_context_difference_explicit,boolean,policy=E0; integrated=E10,policy=E0; integrated=E10,,0,article_notebook_recovered,the original prospective and integrated figures use different context rules,PASS
article_policy_application_2026,boolean,True,True,,0,article_notebook_recovered,E0 in 2024-2025 and E10 in 2026-2030,PASS
article_annual_balance_C0_Cs_A,absolute_tolerance,0.0,0.0,0.0,1e-08,article_notebook_recovered,all three contexts: C0 = Cs + A,PASS
article_golden_historical_reference_co2_tonnes,absolute_tolerance,104318087.17351945,104318087.17351946,-1.4901161193847656e-08,1e-05,article_notebook_recovered,sum of the 38 retrospective Plotly values,PASS
article_golden_historical_scenario_co2_tonnes,absolute_tolerance,97197053.07658882,97197053.07658882,0.0,1e-05,article_notebook_recovered,sum of the 38 retrospective Plotly values,PASS
article_golden_historical_avoided_co2_tonnes,absolute_tolerance,7121034.096930633,7121034.096930638,-4.6566128730773926e-09,1e-05,article_notebook_recovered,sum of the 38 retrospective Plotly values,PASS
article_annual_historical_1986_2023_row_C0,boolean,104318087,104318087,,0,article_notebook_recovered,annual reconstruction rounded half-up versus published table,PASS
article_annual_historical_1986_2023_row_C10,boolean,97197053,97197053,,0,article_notebook_recovered,annual reconstruction rounded half-up versus published table,PASS
article_annual_historical_1986_2023_row_A,boolean,7121034,7121034,,0,article_notebook_recovered,annual reconstruction rounded half-up versus published table,PASS
article_annual_prospective_2026_2030_row_C0,boolean,41728481,41728481,,0,article_notebook_recovered,annual reconstruction rounded half-up versus published table,PASS
article_annual_prospective_2026_2030_row_C10,boolean,38879982,38879982,,0,article_notebook_recovered,annual reconstruction rounded half-up versus published table,PASS
article_annual_prospective_2026_2030_row_A,boolean,2848499,2848499,,0,article_notebook_recovered,annual reconstruction rounded half-up versus published table,PASS
article_summary_gap_2024_2025,boolean,"('1986-2023|2026-2030', '2024|2025', 43)","('1986-2023|2026-2030', '2024|2025', 43)",,0,article_notebook_recovered,"published total is a disjoint union, not a continuous 1986-2030 sum",PASS
