evento_id,fecha,actor,instrumento_o_accion,hecho_verificado,tema,fuentes,estado_al_2026_08_24,implicacion_para_el_suplemento,limite_de_inferencia
C001,1985-03-01,"Jefatura de Estado de Guatemala","Decreto Ley 17-85","Se publicó la Ley del Alcohol Carburante.","base legal","F007;F013;F014","vigente en el marco consultado; existen iniciativas para derogarla o reformarla","Usar como inicio jurídico, no como fecha de ejecución efectiva.","El texto consolidado debe cotejarse con una copia oficial autenticada para un análisis jurídico definitivo."
C002,2023-07-12,"Presidencia de la República y MEM","Acuerdo Gubernativo 159-2023","Se publicó un nuevo reglamento que sustituyó el reglamento de 1985 y programó una implementación posterior.","regulación; gobernanza","F007","superado por reformas y por el reglamento de 2025","Mostrar que la brecha entre ley y ejecución incluyó rediseño reglamentario tardío.","No atribuir toda la demora histórica a un solo instrumento o actor."
C003,2024-07-09,"Presidencia de la República y MEM","Acuerdo Gubernativo 101-2024 y explicación institucional","Se modificó el calendario; el MEM señaló restricciones presupuestarias, equipo de certificación insuficiente, necesidad de capacitación y adecuaciones de agentes privados.","capacidad institucional","F006;F007","antecedente de la configuración vigente","Incluir presupuesto, laboratorio, personal y preparación de la cadena como variables de gobernanza.","Las razones oficiales son evidencia de barreras concretas, pero no una explicación causal completa."
C004,2025-12-22,"Presidencia de la República y MEM","Acuerdo Gubernativo 257-2025","Se publicó el Reglamento General y se fijó inicialmente el 30 de junio de 2026 para incorporar 10 % de alcohol carburante.","regulación","F001","reformado en 2026; la fecha operativa fue modificada","Conservar la versión histórica y parametrizar la fecha vigente por separado.","La afirmación oficial de diálogo participativo requiere actas, participantes, comentarios y respuestas para evaluar representatividad."
C005,2026-01-30,"Gobiernos de Estados Unidos y Guatemala","Firma del Acuerdo sobre Comercio Recíproco","Se firmó el acuerdo bilateral.","comercio; gobernanza","F002;F003","MINECO reportó posteriormente vigencia","Separar firma, entrada en vigor y cumplimiento material.","La firma no demuestra ejecución de cada compromiso."
C006,2026-01-30,"Gobiernos de Estados Unidos y Guatemala","Anexo III, sección D, artículo 4.1","Guatemala asumió el mandato E10 para uso vial y una formulación de mejor esfuerzo para comprar al menos 50 millones de galones anuales desde Estados Unidos.","procedencia importada; comercio","F003","compromiso vigente según la comunicación oficial consultada","Tratar 50 millones de galones como referencia institucional, no como importación observada ni contrato.","No hay en el texto proveedor, precio, adjudicación, calendario de entregas ni evidencia de volumen ejecutado."
C007,2026-02-02,"Ministerio de Economía de Guatemala","Comunicación sobre implementación del acuerdo bilateral","MINECO informó que aún debían completarse procedimientos internos.","gobernanza comercial","F004","antecedente procesal","Incluir una variable de estado jurídico con fecha de corte.","No extrapolar este estado a fechas posteriores sin actualización."
C008,2026-02-10,"Congreso de la República","Iniciativa 6704","El Pleno conoció una propuesta para derogar la Ley del Alcohol Carburante y la remitió para estudio.","contestación política","F013","iniciativa; no es ley vigente","Incluir contestación legislativa y riesgo regulatorio en la matriz de gobernanza.","No interpretar la iniciativa como derogación ni como opinión mayoritaria."
C009,2026-04-21,"Congreso de la República","Iniciativa 6725","El Pleno dio trámite a una propuesta orientada a voluntariedad y protección patrimonial.","alternativa de política; contestación","F014","iniciativa en comisión; no es ley vigente","Registrar una alternativa institucional sin convertirla en escenario económico base.","No modifica por sí sola el mandato vigente."
C010,2026-06-05,"Presidencia de la República y MEM","Acuerdo Gubernativo 95-2026","Se reformó el reglamento para dar flexibilidad operativa y habilitar una fase de acondicionamiento, calibración y verificación.","gobernanza; logística","F008","vigente en el marco consultado","Separar costos y plazos de puesta en marcha de los efectos IO permanentes.","La reforma no mide preparación efectiva ni costos privados."
