fuente_id,titulo,autor_institucion,fecha_publicacion,tipo_fuente,nivel_evidencia,tema,url,hecho_minimo_utilizable,uso_en_el_suplemento,limite_inferencia,fecha_consulta
F001,"Reglamento General de la Ley de Alcohol Carburante","Ministerio de Energía y Minas de Guatemala",2025-12-22,"fuente primaria institucional","alta para fecha y contenido normativo resumido","regulación; gobernanza","https://mem.gob.gt/reglamento-general-de-la-ley-de-alcohol-carburante/","El Acuerdo Gubernativo 257-2025 fue publicado el 22 de diciembre de 2025 y fijó inicialmente el 30 de junio de 2026 para incorporar 10 % en volumen de alcohol carburante en las gasolinas.","Documentar la configuración inicialmente anunciada y el cambio posterior del calendario.","La página resume la posición oficial; no sustituye la lectura integral del acuerdo ni demuestra por sí sola la representatividad de la consulta.",2026-08-24
F002,"Ambassador Greer Signs the United States-Guatemala Agreement on Reciprocal Trade","Office of the United States Trade Representative",2026-01-30,"fuente primaria institucional","alta para fecha y acto de firma","comercio; gobernanza","https://ustr.gov/about/policy-offices/press-office/press-releases/2026/january/ambassador-greer-signs-united-states-guatemala-agreement-reciprocal-trade","Representantes de Estados Unidos y Guatemala firmaron el Acuerdo sobre Comercio Recíproco el 30 de enero de 2026.","Separar la firma de la entrada en vigor y del cumplimiento material.","La nota de prensa no prueba por sí sola la ejecución de cada compromiso.",2026-08-24
F003,"Agreement between the United States of America and the Republic of Guatemala on Reciprocal Trade","Gobiernos de Estados Unidos y Guatemala",2026-01-30,"texto oficial de acuerdo internacional","muy alta para el texto del compromiso","comercio; procedencia; gobernanza","https://ustr.gov/sites/default/files/files/Press/Releases/2026/Guatemala%20ART%201.30%20for%20posting%20CLEAN.pdf","El Anexo III, sección D, artículo 4.1 dispone el mandato E10 para uso vial y señala que Guatemala procurará comprar al menos 50 millones de galones de etanol de Estados Unidos cada año. El artículo 7.7 regula su entrada en vigor.","Construir una referencia de abastecimiento vinculada a Estados Unidos y separar mezcla de procedencia.","La expresión 'procurará comprar' es un compromiso de esfuerzo; no acredita contrato, adjudicación, proveedor, precio, entrega ni volumen importado.",2026-08-24
F004,"Guatemala avanza en la implementación del Acuerdo Recíproco de Aranceles con Estados Unidos","Ministerio de Economía de Guatemala",2026-02-02,"fuente primaria institucional","alta para el estado procesal reportado en esa fecha","comercio; gobernanza","https://mineco.gob.gt/guatemala-avanza-en-la-implementacion-del-acuerdo-reciproco-de-aranceles-con-estados-unidos","MINECO informó que el acuerdo firmado debía completar procedimientos legales internos.","Registrar que firma y entrada en vigor son hitos distintos.","El estado procesal puede cambiar; debe verificarse en cada versión del suplemento.",2026-08-24
F005,"MINECO aclara alcance de publicación de USTR y reafirma vigencia del Acuerdo de Comercio Recíproco con Estados Unidos","Ministerio de Economía de Guatemala",2026-06-05,"fuente primaria institucional","alta para la posición oficial guatemalteca a esa fecha","comercio; gobernanza","https://mineco.gob.gt/mineco-aclara-alcance-de-publicacion-de-ustr-y-reafirma-vigencia-del-acuerdo-de-comercio-reciproco-con-estados-unidos","MINECO comunicó que el acuerdo se mantenía vigente y sin cambios al 5 de junio de 2026.","Actualizar el estado institucional sin inferir cumplimiento material de cada obligación.","La declaración de vigencia no demuestra compras, entregas ni cumplimiento cuantitativo.",2026-08-24
F006,"Implementación de la Ley de Alcohol Carburante traerá beneficios ambientales","Ministerio de Energía y Minas de Guatemala",2024-07-09,"fuente primaria institucional","media-alta para declaraciones oficiales sobre capacidad estatal","gobernanza; cronología","https://mem.gob.gt/implementacion-de-la-ley-de-alcohol-carburante-traera-beneficios-ambientales/","Al explicar el Acuerdo Gubernativo 101-2024, un viceministro señaló restricciones presupuestarias, falta de equipo para certificar calidad, necesidad de capacitación y falta de preparación de agentes de la cadena.","Codificar barreras institucionales observables: presupuesto, laboratorio, personal y adecuaciones privadas.","Son explicaciones oficiales parciales, no una evaluación causal exhaustiva de toda la demora histórica.",2026-08-24
F007,"Mezcla de combustibles fósiles con etanol comenzará en 2026","Diario de Centro América",2025-12-01,"fuente primaria periodística estatal","media-alta para cronología normativa resumida","regulación; cronología","https://dca.gob.gt/noticias-guatemala-diario-centro-america/mezcla-de-combustibles-fosiles-con-etanol-comenzara-en-2026/","El Acuerdo Gubernativo 159-2023 sustituyó el reglamento de 1985 y el Acuerdo Gubernativo 101-2024 modificó el calendario.","Mostrar que la ejecución requirió sucesivas reformas reglamentarias.","Las fechas y artículos deben cotejarse con los textos legales si se usan en un análisis jurídico detallado.",2026-08-24
F008,"MEM efectúa cambios en el reglamento del etanol","Diario de Centro América",2026-06-05,"fuente primaria periodística estatal","alta para anuncio oficial de reforma y fase operativa","regulación; gobernanza; logística","https://dca.gob.gt/noticias-guatemala-diario-centro-america/mem-efectua-cambios-en-el-reglamento-del-etanol/","El Acuerdo Gubernativo 95-2026 reformó el reglamento para introducir flexibilidad operativa y una fase de acondicionamiento, calibración y verificación.","Documentar una nueva adaptación institucional y controles previos al despacho.","No mide por sí sola la preparación efectiva de cada terminal o estación.",2026-08-24
F009,"MEM divulga acuerdo del etanol","Diario de Centro América",2026-07-10,"fuente primaria periodística estatal","alta para metodología oficial de suministro","abastecimiento; gobernanza; trazabilidad","https://dca.gob.gt/noticias-guatemala-diario-centro-america/mem-divulga-acuerdo-del-etanol/","El Acuerdo Ministerial 295-2026 estableció la metodología de seguridad de suministro para los dos primeros períodos de implementación.","Definir variables de seguimiento: capacidad, contratación, inventarios, calidad, trazabilidad y continuidad.","El procedimiento no demuestra cumplimiento ni suficiencia; se requieren registros administrativos y resultados de fiscalización.",2026-08-24
F010,"Alcohol Carburante: índice oficial de normativa, calidad, formularios y porcentajes","Ministerio de Energía y Minas de Guatemala",2026-08-24,"índice oficial actualizado","alta para localizar documentos vigentes","regulación; datos administrativos; actualización","https://mem.gob.gt/que-hacemos/area-energetica/alcohol-carburante/","El MEM mantiene un índice con registros, licencias, normas de calidad, metodología de emisiones, inventarios y acuerdos ministeriales.","Usar como punto de control en cada actualización y conservar versiones locales con huella digital.","El índice puede cambiar sin versionado y no prueba que cada instrumento se aplicó efectivamente.",2026-08-24
F011,"Gasolina regular con etanol comienza a suministrarse el próximo 22","Diario de Centro América",2026-08-05,"fuente primaria periodística estatal","alta para la disposición ministerial vigente","regulación; alcance de implementación","https://dca.gob.gt/noticias-guatemala-diario-centro-america/tag/22-de-agosto-del-presente-ano/","El Acuerdo Ministerial 333-2026/SG fijó el 22 de agosto de 2026 para incorporar alcohol carburante a la gasolina regular; la gasolina superior quedó pendiente de dictámenes técnicos y económicos.","Configurar la actualización normativa sobre gasolina regular y mantener la superior fuera de la actualización factual.","La fecha normativa no prueba cobertura total, mezcla efectiva promedio ni disponibilidad continua en todas las estaciones.",2026-08-24
F012,"Llegan al país 3 mil toneladas de combustible E10","Diario de Centro América",2026-07-11,"fuente primaria periodística estatal","media-alta para un embarque reportado","procedencia importada; logística","https://dca.gob.gt/noticias-guatemala-diario-centro-america/llegan-al-pais-3-mil-toneladas-de-combustible-e10/","Se reportó la llegada a Santo Tomás de Castilla de tres mil toneladas métricas de etanol procedente de Estados Unidos.","Registrar evidencia observada de abastecimiento importado y contrastarla con estadísticas aduaneras.","Un embarque no determina el total anual, la participación importada, el proveedor contractual, el precio ni la continuidad.",2026-08-24
F013,"Pleno remite siete iniciativas de ley","Congreso de la República de Guatemala",2026-02-10,"fuente primaria legislativa","alta para estado de iniciativa","contestación política; gobernanza","https://www.congreso.gob.gt/noticias_congreso/15314/2026/","La iniciativa 6704, que propone derogar la Ley del Alcohol Carburante, fue conocida por el Pleno y remitida para estudio y dictamen.","Representar la contestación legislativa como dimensión de viabilidad política.","Una iniciativa no equivale a ley vigente ni permite predecir su aprobación.",2026-08-24
F014,"Pleno da trámite a iniciativa que regula uso de etanol","Congreso de la República de Guatemala",2026-04-21,"fuente primaria legislativa","alta para estado de iniciativa","contestación política; alternativa de política","https://www.congreso.gob.gt/noticias_congreso/15815/2026/4","La iniciativa 6725, orientada a voluntariedad y protección patrimonial, fue cursada a la Comisión de Economía y Comercio Exterior.","Incorporar una alternativa institucional y un indicador de incertidumbre regulatoria.","La iniciativa no modifica por sí sola el mandato vigente ni demuestra preferencias de toda la población.",2026-08-24
F015,"Comercio Exterior por inciso arancelario del SAC, año 2026","Banco de Guatemala",2026-08-24,"fuente primaria estadística oficial","alta para importaciones registradas","procedencia importada; comercio","https://banguat.gob.gt/page/ano-2026-13","BANGUAT publica archivos de comercio exterior por inciso arancelario, país, valor y volumen para 2026.","Construir la serie reproducible de importaciones de alcohol etílico por procedencia y mes.","Debe verificarse la cobertura del inciso, separar usos cuando el código no los distinga y documentar revisiones.",2026-08-24
